Brand,Model,Kilométrage,Année,Boîte,Carburant,Puissance fiscale,Prix
Mercedes-Benz,CLASSE C AMG,34800,2021,Automatique,Hybride,10,205000
KIA,RIO 5P,99000,2018,Manuelle,Essence,5,50000
Volvo,XC60 R,165000,2011,Automatique,Essence,13,44500
Volkswagen,POLO,63000,2022,Manuelle,Essence,4,53000
Volkswagen,GOLF 8,14200,2024,Automatique,Hybride,8,146000
Hyundai,GRAND I10,115000,2022,Manuelle,Essence,5,39700
Great Wall,M4,75000,2021,Manuelle,Essence,6,44000
Porsche,CAYENNE COUPÉ,71000,2020,Automatique,Essence,23,370000
Haval,JOLION,65000,2021,Automatique,Essence,9,84000
Peugeot,PARTNER 650 KG,200000,2016,Manuelle,Diesel,5,40000
Toyota,AGYA COMFORT,92000,2021,Automatique,Essence,5,37500
Volkswagen,CADDY,115000,2020,Manuelle,Diesel,5,49500
KIA,RIO 5P GX,97000,2022,Manuelle,Essence,5,49500
Chevrolet,SUBURBAN,170000,2007,Automatique,Essence,31,88000
Geely,GX3,90000,2022,Manuelle,Essence,6,53000
Citroën,C3 SHINE,120000,2019,Manuelle,Essence,5,36500
Volkswagen,POLO,67000,2021,Manuelle,Essence,4,49500
KIA,RIO 5P,72000,2021,Manuelle,Essence,5,63000
Jeep,RENEGADE,85000,2021,Manuelle,Essence,8,86000
Skoda,OCTAVIA CONFORT,95000,2019,Automatique,Essence,8,63000
Fiat,500X,190000,2015,Manuelle,Essence,8,44000
BMW,SÉRIE 4 GRAN COUPÉ,93000,2020,Automatique,Essence,7,97000
Great Wall,M4 COMFORT,90000,2021,Manuelle,Essence,6,49500
Renault,CLIO LIFE PLUS,95000,2022,Manuelle,Essence,5,49500
Audi,A5 COUPÉ,180000,2009,Automatique,Essence,13,53000
KIA,SPORTAGE,56000,2022,Automatique,Essence,10,120000
Volkswagen,PASSAT R-LINE,19400,2019,Automatique,Essence,8,112000
Ford,ECOSPORT TITANIUM PLUS,100000,2019,Automatique,Essence,7,52000
Mercedes-Benz,GLC COUPÉ 400E 4MATIC AMG PREMIUM PLUS,20000,2024,Automatique,Hybride,15,395000
Skoda,KUSHAQ AMBITION,11500,2024,Manuelle,Essence,6,106500
Mercedes-Benz,GLA AMG,43000,2021,Automatique,Hybride,8,179000
Audi,A3,128000,2020,Manuelle,Essence,6,76000
KIA,SELTOS,150000,2021,Automatique,Essence,8,83000
Volkswagen,T-ROC IMPORTÉE TN250,128000,2021,Manuelle,Essence,6,76000
Mercedes-Benz,CLASSE C AMG +,158000,2021,Automatique,Diesel,6,119000
Hyundai,I20,65000,2023,Manuelle,Essence,5,55000
Peugeot,308,137000,2019,Manuelle,Diesel,5,48500
KIA,PICANTO,46000,2023,Manuelle,Essence,5,42500
Audi,A3 SPORTBACK,178000,2020,Automatique,Essence,8,79000
Volkswagen,GOLF 8,89000,2021,Manuelle,Essence,8,95000
Volkswagen,PASSAT GTE,68000,2022,Automatique,Hybride,8,118000
Peugeot,RIFTER,168000,2020,Manuelle,Diesel,5,73000
KIA,PICANTO,69000,2021,Manuelle,Essence,5,39500
Mercedes-Benz,CLASSE C,212000,2017,Automatique,Essence,8,85000
Isuzu,D-MAX SIMPLE CABINE,0,2025,Manuelle,Diesel,8,122000
Isuzu,D-MAX SIMPLE CABINE,0,2025,Manuelle,Diesel,8,137000
Isuzu,D-MAX SIMPLE CABINE,0,2025,Manuelle,Diesel,8,137000
Isuzu,D-MAX SIMPLE CABINE,0,2025,Manuelle,Diesel,8,137000
Nissan,NAVARA,130000,2018,Manuelle,Diesel,10,76000
KIA,SPORTAGE,120000,2016,Automatique,Diesel,11,85000
Mercedes-Benz,CLASSE C AMG,210000,2015,Automatique,Essence,8,95000
Audi,A5 COUPÉ,170000,2009,Automatique,Essence,13,54000
Volkswagen,GOLF 8,39000,2020,Automatique,Hybride,8,128000
Mercedes-Benz,CLASSE E AVANTGARDE,126000,2017,Automatique,Essence,9,110000
Mazda,Mazda_6,225000,2016,Manuelle,Essence,8,46000
Mercedes-Benz,CLASSE C,140000,2017,Automatique,Essence,8,127000
KIA,STONIC,20000,2023,Automatique,Hybride,6,90000
Ford,MUSTANG,60000,2015,Automatique,Essence,22,128000
Peugeot,2008 ALLURE,82000,2016,Manuelle,Essence,5,39000
Mercedes-Benz,CLA AMG,94000,2021,Automatique,Essence,7,145000
BMW,X5,255000,2009,Automatique,Diesel,16,72000
BMW,SÉRIE 3,155000,2017,Automatique,Essence,7,77000
Haval,H6 LUXURY,70000,2022,Automatique,Essence,8,115000
,CHANGAN UNI-T,9000,2023,Automatique,Essence,10,168000
Haval,H9 VIN,50000,2018,Automatique,Essence,15,115000
Audi,Q5,278000,2015,Automatique,Diesel,10,95000
Mercedes-Benz,CLA AMG,30000,2022,Automatique,Essence,7,170000
BMW,SÉRIE 4 COUPÉ,2500,2021,Automatique,Essence,10,250000
Porsche,CAYENNE,200000,2011,Automatique,Essence,21,128000
Land Rover,RANGE ROVER EVOQUE,225000,2012,Automatique,Diesel,11,78000
Mercedes-Benz,CLASSE C,104000,2018,Automatique,Essence,9,134000
,HUMMER H2 PICK UP,44000,2007,Automatique,Essence,31,160000
Porsche,CAYENNE,190000,2017,Automatique,Diesel,15,240000
BMW,SÉRIE 2 GRAN COUPÉ PACK SPORT,100000,2020,Automatique,Essence,7,120000
